Unnamed: 0,Wages and salaries,Income from  unincorporated business (a),Property income and superannuation,Government pensions and allowances,Other,All households (b),Year/s,Unnamed: 1
Estimated number of households in population,4450965.0,646846.0,686135.0,2065154.0,105485.0,7954585.0,2003-2004,
Total gross income,520050.0,66339.0,53403.0,67947.0,3799.0,711537.0,2003-2004,
Total income payable,142568.0,16674.0,10197.0,4995.0,748.0,175181.0,2003-2004,
Gross disposable income ,377482.0,49665.0,43206.0,62952.0,3051.0,536356.0,2003-2004,
Estimated number of households in population,4697300.0,652527.0,720286.0,1981257.0,109486.0,8160856.0,2005-2006,
Total gross income,600648.0,75889.0,69724.0,68071.0,4801.0,819132.0,2005-2006,
Total income payable,168313.0,21871.0,14564.0,5083.0,1000.0,210831.0,2005-2006,
Gross disposable income ,432335.0,54018.0,55159.0,62988.0,3801.0,608301.0,2005-2006,
Estimated number of households in population,5006885.0,681856.0,699338.0,1832678.0,107061.0,8327818.0,2007-2008,
Total gross income,749259.0,81895.0,76955.0,73404.0,4389.0,985903.0,2007-2008,
Total income payable,210270.0,24434.0,18179.0,6214.0,878.0,259974.0,2007-2008,
Gross disposable income ,538990.0,57462.0,58776.0,67190.0,3511.0,725929.0,2007-2008,
Estimated number of households in population,5153118.0,679925.0,681438.0,2051853.0,98522.0,8664857.0,2009-2010,
Total gross income,804369.0,107184.0,77193.0,89651.0,4860.0,1083258.0,2009-2010,
Total income payable,211689.0,23761.0,13536.0,6222.0,804.0,256011.0,2009-2010,
Gross disposable income ,592680.0,83424.0,63657.0,83430.0,4056.0,827246.0,2009-2010,
Estimated number of households in population,5330698.0,646900.0,759742.0,2075367.0,99860.0,8912566.0,2011-2012,
Total gross income,937717.0,108397.0,96038.0,101332.0,4550.0,1248033.0,2011-2012,
Total income payable,255698.0,27611.0,16216.0,7614.0,905.0,308044.0,2011-2012,
Gross disposable income ,682019.0,80786.0,79822.0,93718.0,3645.0,939989.0,2011-2012,
Estimated number of households in population,5330904.0,781036.0,767743.0,2040674.0,128226.0,9048583.0,2013-2014,
Total gross income,983326.0,120314.0,117462.0,109530.0,5842.0,1336473.0,2013-2014,
Total income payable,246685.0,28729.0,29016.0,8025.0,1164.0,313618.0,2013-2014,
Gross disposable income ,736641.0,91585.0,88446.0,101505.0,4678.0,1022855.0,2013-2014,
Estimated number of households in population,5480077.0,713785.0,847297.0,2093801.0,111232.0,9246191.0,2015-2016,
Total gross income,1045086.0,128489.0,135276.0,117956.0,6430.0,1433237.0,2015-2016,
Total income payable,276834.0,24998.0,26617.0,8114.0,1623.0,338187.0,2015-2016,
Gross disposable income ,768252.0,103491.0,108659.0,109842.0,4806.0,1095050.0,2015-2016,
Estimated number of households in population,5687223.0,760386.0,778381.0,2171192.0,157135.0,9554316.0,2017-2018,
Total gross income,1119587.0,124947.0,159468.0,118427.0,7703.0,1530133.0,2017-2018,
Total income payable,289864.0,25686.0,39134.0,8380.0,1572.0,364636.0,2017-2018,
Gross disposable income ,829723.0,99260.0,120335.0,110047.0,6132.0,1165497.0,2017-2018,
Estimated number of households in population,6058601.0,726233.0,885252.0,2209953.0,136934.0,10016972.0,2019-2020,
Total gross income,1220762.0,122697.0,172376.0,133791.0,6413.0,1656039.0,2019-2020,
Total income payable,307161.0,23368.0,33144.0,8290.0,1132.0,373095.0,2019-2020,
Gross disposable income ,913601.0,99329.0,139232.0,125501.0,5282.0,1282944.0,2019-2020,
,,,,,,,,
